School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
ACADEMIC LEADERSHIP CHARTER SCHOOL,ACADEMIC LEADERSHIP CHARTER,BRONX,612,100.0%,98.7%,0,8,0.5%,57.7%,3,353,609,251,1.2%,45.9%,50.0%,0.9%,0.9%,1.1%
ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,NASSAU,1787,97.1%,100.0%,53,0,2.9%,100.0%,53,1787,1734,0,0.8%,46.4%,49.4%,0.9%,1.8%,0.7%
ACADEMY CHARTER SCHOOL-UNIONDALE,ACADEMY CHARTER SCHOOL-UNION,NASSAU,467,95.5%,100.0%,22,0,4.5%,100.0%,22,467,445,0,0.4%,63.5%,28.1%,0.6%,6.0%,1.3%
ACADEMY OF HEALTH SCIENCES CHARTER,ACADEMY OF HEALTH SCIENCES C,MONROE,205,100.0%,100.0%,0,0,2.9%,100.0%,6,205,199,0,7.3%,78.0%,14.1%,0.0%,0.0%,0.5%
ACADEMY OF THE CITY CHARTER SCHOOL,ACADEMY OF THE CITY CHARTER,QUEENS,647,100.0%,100.0%,0,0,5.8%,74.5%,40,481,647,165,12.7%,7.6%,49.4%,27.1%,1.0%,2.2%
ADDISON MIDDLE/HIGH SCHOOL,ADDISON,STEUBEN,542,99.8%,100.0%,1,0,1.3%,50.0%,7,542,534,542,94.7%,0.6%,1.8%,1.1%,0.4%,1.5%
TUSCARORA ELEMENTARY SCHOOL,ADDISON,STEUBEN,400,99.3%,100.0%,3,0,3.5%,100.0%,14,400,383,0,97.0%,0.2%,1.7%,0.2%,0.0%,0.7%
VALLEY EARLY CHILDHOOD SCHOOL,ADDISON,STEUBEN,78,91.0%,0.0%,7,78,0.0%,0.0%,0,0,71,0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ADIRONDACK HIGH SCHOOL,ADIRONDACK,ONEIDA,349,100.0%,100.0%,0,0,20.3%,100.0%,71,349,278,0,98.9%,0.0%,0.3%,0.0%,0.0%,0.9%
ADIRONDACK MIDDLE SCHOOL,ADIRONDACK,ONEIDA,294,92.9%,100.0%,21,0,33.0%,100.0%,97,294,176,0,97.3%,0.0%,0.3%,0.0%,0.0%,2.4%
BOONVILLE ELEMENTARY SCHOOL,ADIRONDACK,ONEIDA,404,41.8%,100.0%,235,0,12.6%,98.1%,51,368,118,7,97.7%,0.5%,1.0%,0.5%,0.0%,0.3%
WEST LEYDEN ELEMENTARY SCHOOL,ADIRONDACK,LEWIS,119,89.1%,100.0%,14,0,7.8%,100.0%,10,119,105,0,98.3%,0.0%,0.0%,0.0%,0.0%,1.7%
AECI II:  NYC CHARTER HS-COMP ENGIN,AECI II:  NYC CHARTER HS-COM,BRONX,213,100.0%,100.0%,0,0,42.6%,82.2%,72,175,97,38,0.9%,26.1%,66.8%,1.4%,2.4%,2.4%
AFTON ELEMENTARY SCHOOL,AFTON,CHENANGO,201,99.0%,75.6%,2,49,0.0%,71.6%,0,144,201,8,91.0%,3.5%,3.0%,0.0%,0.0%,2.5%
AFTON JUNIOR/SENIOR HIGH SCHOOL,AFTON,CHENANGO,280,91.4%,100.0%,24,0,0.0%,100.0%,0,280,256,0,90.0%,3.9%,3.6%,1.1%,0.0%,1.4%
AKRON ELEMENTARY SCHOOL,AKRON,ERIE,526,100.0%,100.0%,0,0,8.4%,100.0%,44,526,482,0,79.6%,0.4%,0.4%,0.4%,13.5%,5.8%
AKRON HIGH SCHOOL,AKRON,ERIE,445,100.0%,100.0%,0,0,7.4%,100.0%,33,445,412,0,83.6%,0.4%,1.1%,0.4%,12.6%,1.8%
AKRON MIDDLE SCHOOL,AKRON,ERIE,296,100.0%,100.0%,0,0,7.5%,100.0%,24,296,296,0,81.4%,0.7%,1.7%,0.0%,11.8%,4.4%
ALBANY HIGH SCHOOL,ALBANY,ALBANY,2649,98.7%,28.4%,34,1898,1.3%,28.4%,35,751,2580,0,19.7%,51.0%,16.7%,7.8%,0.3%,4.5%
ALBANY SCHOOL OF HUMANITIES,ALBANY,ALBANY,484,99.4%,26.0%,3,358,0.4%,26.0%,2,126,479,0,14.3%,48.2%,19.7%,6.1%,0.2%,11.4%
ARBOR HILL ELEMENTARY SCHOOL,ALBANY,ALBANY,308,98.4%,33.4%,5,205,1.9%,33.1%,6,102,297,1,3.9%,64.4%,19.7%,5.3%,0.0%,6.7%
DELAWARE COMMUNITY SCHOOL,ALBANY,ALBANY,408,98.8%,22.1%,5,318,2.0%,22.1%,8,90,395,0,13.9%,22.9%,46.1%,8.8%,0.3%,8.0%
EAGLE POINT ELEMENTARY SCHOOL,ALBANY,ALBANY,271,97.0%,18.5%,8,221,0.7%,18.5%,2,50,261,0,43.2%,28.9%,14.3%,6.8%,0.4%,6.4%
EDMUND J O'NEAL MS OF EXCELLENCE,ALBANY,ALBANY,298,99.0%,38.3%,3,184,1.7%,38.3%,5,114,290,0,5.7%,66.5%,19.0%,2.7%,0.4%,5.7%
GIFFEN MEMORIAL ELEMENTARY SCHOOL,ALBANY,ALBANY,523,97.1%,34.0%,15,345,2.7%,34.0%,14,178,494,0,7.6%,52.5%,23.8%,8.8%,0.6%,6.6%
MONTESSORI MAGNET SCHOOL,ALBANY,ALBANY,328,98.5%,27.4%,5,238,0.6%,17.7%,2,58,321,32,46.0%,22.7%,10.9%,8.6%,0.0%,11.8%
MYERS MIDDLE SCHOOL,ALBANY,ALBANY,649,99.2%,43.9%,5,364,0.8%,28.7%,5,186,639,99,18.9%,46.7%,20.6%,6.5%,0.3%,7.0%
NEW SCOTLAND ELEMENTARY SCHOOL,ALBANY,ALBANY,484,99.2%,35.0%,4,314,0.4%,15.7%,2,76,478,93,39.8%,23.8%,14.0%,11.6%,0.2%,10.7%
NORTH ALBANY ACADEMY MIDDLE SCHOOL,ALBANY,ALBANY,172,97.7%,45.9%,4,93,1.2%,42.4%,2,73,166,6,8.5%,60.5%,13.5%,7.0%,0.0%,10.5%
P J SCHUYLER ACHIEVEMENT ACADEMY,ALBANY,ALBANY,279,99.6%,33.3%,1,186,1.4%,23.3%,4,65,274,28,6.4%,48.9%,23.3%,13.2%,0.0%,8.3%
PINE HILLS ELEMENTARY SCHOOL,ALBANY,ALBANY,390,99.7%,45.4%,1,213,0.3%,25.4%,1,99,388,78,18.6%,45.5%,21.4%,5.8%,0.0%,8.8%
SHERIDAN PREP ACADEMY,ALBANY,ALBANY,310,98.4%,39.4%,5,188,3.9%,31.6%,12,98,293,24,4.3%,59.5%,21.1%,8.7%,0.7%,5.7%
THOMAS S O'BRIEN ACAD OF SCI & TECH,ALBANY,ALBANY,420,96.4%,31.2%,15,289,1.2%,23.6%,5,99,400,32,13.4%,38.5%,15.0%,24.3%,0.3%,8.6%
WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY,ALBANY,650,99.4%,34.8%,4,424,1.2%,28.5%,8,185,638,41,27.0%,31.3%,23.8%,12.9%,0.2%,4.8%
ALBANY COMMUNITY CHARTER SCHOOL,ALBANY COMMUNITY CHARTER SCH,ALBANY,682,100.0%,100.0%,0,0,4.3%,99.6%,29,679,653,3,1.4%,89.3%,6.9%,0.7%,0.4%,1.2%
ALBANY LEADERSHIP CHARTER HS-GIRLS,ALBANY LEADERSHIP CHARTER HS,ALBANY,294,100.0%,99.7%,0,1,2.0%,97.3%,6,286,288,7,8.7%,59.7%,18.1%,5.9%,1.0%,6.6%
CARL I BERGERSON MIDDLE SCHOOL,ALBION,ORLEANS,418,99.8%,100.0%,1,0,9.1%,100.0%,38,418,379,0,74.2%,12.2%,12.0%,1.0%,0.7%,0.0%
CHARLES D'AMICO HIGH SCHOOL,ALBION,ORLEANS,534,100.0%,100.0%,0,0,7.7%,100.0%,41,534,493,0,75.3%,11.3%,11.9%,0.7%,0.7%,0.0%
RONALD L SODOMA ELEMENTARY SCHOOL,ALBION,ORLEANS,823,99.8%,100.0%,2,0,9.2%,100.0%,76,823,745,0,76.2%,12.0%,10.6%,0.6%,0.6%,0.0%
ALDEN INTERMEDIATE SCHOOL,ALDEN,ERIE,331,100.0%,100.0%,0,0,0.3%,100.0%,1,331,330,0,96.3%,0.9%,1.2%,0.3%,0.3%,0.9%
ALDEN MIDDLE SCHOOL,ALDEN,ERIE,346,100.0%,100.0%,0,0,0.9%,100.0%,3,346,343,0,94.6%,1.1%,1.4%,0.6%,2.0%,0.3%
ALDEN PRIMARY AT TOWNLINE,ALDEN,ERIE,363,100.0%,8.8%,0,333,0.0%,8.8%,0,32,363,0,96.4%,1.0%,0.7%,0.0%,0.3%,1.6%
ALDEN SENIOR HIGH SCHOOL,ALDEN,ERIE,501,100.0%,100.0%,0,0,0.8%,100.0%,4,501,497,0,96.0%,0.4%,1.8%,1.0%,0.0%,0.8%
ALEXANDER ELEMENTARY SCHOOL,ALEXANDER,GENESEE,759,100.0%,100.0%,0,0,4.2%,36.0%,13,111,295,197,91.8%,0.4%,5.3%,0.4%,0.0%,2.1%
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,ALEXANDER,GENESEE,759,100.0%,100.0%,0,0,11.6%,78.9%,55,356,418,95,94.3%,1.1%,2.2%,0.9%,0.0%,1.5%
ALEXANDRIA CENTRAL ELEMENTARY SCHOOL,ALEXANDRIA CSD,JEFFERSON,490,83.5%,100.0%,83,0,2.4%,100.0%,12,490,407,0,94.9%,0.4%,3.8%,0.0%,0.4%,0.4%
ALEXANDRIA CENTRAL HIGH SCHOOL,ALEXANDRIA CSD,JEFFERSON,490,83.5%,100.0%,83,0,2.4%,100.0%,12,490,407,0,94.9%,1.3%,1.3%,0.0%,0.4%,2.1%
ALFRED-ALMOND ELEMENTARY SCHOOL,ALFRED ALMOND,ALLEGANY,304,100.0%,100.0%,0,0,0.3%,100.0%,1,304,303,0,90.8%,0.3%,2.6%,4.3%,0.0%,2.0%
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,ALFRED ALMOND,ALLEGANY,270,99.6%,100.0%,1,0,0.7%,100.0%,2,270,267,0,89.3%,0.0%,4.0%,3.7%,0.0%,2.9%
ALLEGANY-LIMESTONE ELEMENTARY,ALLEGANY-LIMESTONE,CATTARAUGUS,443,96.2%,100.0%,17,0,1.1%,100.0%,5,443,421,0,88.7%,1.8%,2.0%,1.6%,0.9%,5.0%
ALLEGANY-LIMESTONE MIDDLE-HIGH,ALLEGANY-LIMESTONE,CATTARAUGUS,621,97.3%,100.0%,17,0,2.9%,100.0%,18,621,586,0,93.6%,1.1%,1.3%,1.0%,0.0%,3.0%
ALTMAR-PARISH-WILLIAMSTOWN ELEMEN,ALTMAR-PARISH,OSWEGO,551,98.5%,98.5%,8,8,1.5%,68.1%,8,375,535,168,94.1%,0.6%,1.5%,0.2%,0.6%,3.1%
ALTMAR-PARISH-WILLIAMSTOWN JR/SR HS,ALTMAR-PARISH,OSWEGO,539,98.3%,98.5%,9,8,2.0%,52.5%,11,283,519,248,93.2%,1.0%,2.1%,0.8%,0.4%,2.7%
AMAGANSETT SCHOOL,AMAGANSETT,SUFFOLK,132,100.0%,100.0%,0,0,50.4%,100.0%,132,132,130,0,77.4%,0.8%,18.8%,3.0%,0.0%,0.0%
AMANI PUBLIC CHARTER SCHOOL,AMANI PUBLIC CHARTER SCHOOL,WESTCHESTER,355,100.0%,100.0%,0,0,0.0%,100.0%,0,355,355,0,0.8%,92.7%,4.2%,1.1%,0.6%,0.6%
AMBER CHARTER SCHOOL EAST HARLEM,AMBER CHARTER EAST HARLEM,NEW YORK,484,100.0%,97.1%,0,14,5.3%,35.7%,26,173,466,297,2.7%,28.2%,67.1%,1.2%,0.2%,0.6%
AMBER CHARTER SCHOOL KINGSBRIDGE,AMBER CHARTER KINGSBRIDGE,BRONX,468,100.0%,100.0%,0,0,6.4%,68.8%,30,322,438,146,1.3%,12.7%,83.1%,1.3%,0.0%,1.7%
AMERICAN DREAM CHARTER SCHOOL,AMERICAN DREAM CHARTER SCHOO,BRONX,584,90.4%,100.0%,62,0,9.6%,100.0%,62,584,522,0,0.3%,5.6%,93.9%,0.0%,0.0%,0.2%
AMHERST CENTRAL HIGH SCHOOL,AMHERST,ERIE,888,100.0%,100.0%,0,0,3.2%,100.0%,28,888,860,0,67.3%,13.7%,5.7%,8.7%,0.3%,4.3%
AMHERST MIDDLE SCHOOL,AMHERST,ERIE,721,100.0%,100.0%,0,0,4.3%,100.0%,31,721,690,0,65.7%,15.3%,5.7%,8.8%,0.4%,4.2%
SMALLWOOD DRIVE SCHOOL,AMHERST,ERIE,607,100.0%,100.0%,0,0,0.7%,100.0%,4,607,603,0,79.4%,4.9%,5.6%,4.7%,0.2%,5.2%
WINDERMERE BLVD SCHOOL,AMHERST,ERIE,757,100.0%,100.0%,0,0,1.3%,100.0%,10,678,747,0,51.4%,23.1%,4.9%,13.2%,0.1%,7.4%
AMITYVILLE MEMORIAL HIGH SCHOOL,AMITYVILLE,SUFFOLK,932,100.0%,100.0%,0,0,10.7%,100.0%,100,932,832,0,5.0%,37.6%,53.7%,1.3%,0.6%,1.8%
EDMUND W MILES MIDDLE SCHOOL,AMITYVILLE,SUFFOLK,671,98.9%,98.8%,8,8,5.4%,96.7%,38,648,663,14,3.6%,32.9%,58.5%,1.3%,1.0%,2.5%
NORTHEAST SCHOOL,AMITYVILLE,SUFFOLK,127,100.0%,100.0%,0,0,0.0%,100.0%,0,127,127,0,1.6%,36.5%,56.3%,2.4%,0.0%,3.2%
NORTHWEST ELEMENTARY SCHOOL,AMITYVILLE,SUFFOLK,586,100.0%,100.0%,0,0,11.9%,100.0%,70,586,516,0,4.1%,30.3%,59.5%,0.9%,0.7%,4.6%
PARK AVENUE SCHOOL,AMITYVILLE,SUFFOLK,678,100.0%,100.0%,0,0,13.3%,100.0%,90,678,588,0,3.1%,31.2%,59.9%,1.8%,0.6%,3.4%
AMSTERDAM HIGH SCHOOL,AMSTERDAM,MONTGOMERY,1172,99.3%,100.0%,8,0,2.1%,60.0%,25,703,1139,469,42.8%,6.1%,45.4%,1.0%,0.7%,3.9%
MARIE CURIE INST OF ENGIN AND COMM,AMSTERDAM,MONTGOMERY,447,94.1%,100.0%,1,0,47.1%,74.5%,8,344,8,118,32.3%,2.6%,57.8%,2.6%,0.0%,4.9%
R J MCNULTY ACADEMY,AMSTERDAM,MONTGOMERY,432,100.0%,100.0%,0,0,1.6%,82.2%,7,355,425,77,27.4%,6.3%,58.1%,0.6%,0.2%,7.3%
WILBUR H LYNCH LITERACY ACADEMY,AMSTERDAM,MONTGOMERY,869,99.5%,100.0%,4,0,3.5%,88.5%,30,769,835,100,35.7%,5.1%,52.4%,1.5%,0.1%,5.2%
WILLIAM B TECLER ARTS IN EDUCATION,AMSTERDAM,MONTGOMERY,430,100.0%,100.0%,0,0,1.2%,70.5%,5,303,425,127,47.6%,3.6%,44.5%,0.5%,0.0%,3.8%
WILLIAM H BARKLEY MICROSOCIETY,AMSTERDAM,MONTGOMERY,278,100.0%,100.0%,0,0,1.4%,95.7%,4,266,274,12,47.8%,2.2%,41.8%,1.1%,0.0%,7.1%
ANDES CENTRAL SCHOOL,ANDES,DELAWARE,61,100.0%,100.0%,0,0,0.0%,100.0%,0,61,61,0,95.1%,1.6%,3.3%,0.0%,0.0%,0.0%
ANDOVER SCHOOL,ANDOVER,ALLEGANY,255,89.0%,100.0%,28,0,0.0%,100.0%,0,255,227,0,96.9%,0.4%,0.4%,0.8%,0.0%,1.6%
ARDSLEY HIGH SCHOOL,ARDSLEY,WESTCHESTER,703,100.0%,100.0%,0,0,0.0%,35.8%,0,252,703,451,59.1%,3.7%,14.9%,20.1%,0.0%,2.3%
ARDSLEY MIDDLE SCHOOL,ARDSLEY,WESTCHESTER,730,100.0%,100.0%,0,0,0.0%,62.7%,0,457,730,272,56.4%,4.1%,13.7%,21.3%,0.0%,4.5%
CONCORD ROAD ELEMENTARY SCHOOL,ARDSLEY,WESTCHESTER,883,100.0%,100.0%,0,0,0.0%,71.5%,0,631,883,252,56.6%,2.3%,11.5%,20.1%,0.1%,9.4%
ARGYLE ELEMENTARY SCHOOL,ARGYLE,WASHINGTON,229,92.1%,100.0%,18,0,5.2%,100.0%,12,229,199,0,93.9%,1.3%,3.1%,0.4%,0.0%,1.3%
ARGYLE JUNIOR/SENIOR HIGH SCHOOL,ARGYLE,WASHINGTON,217,89.9%,100.0%,22,0,5.1%,100.0%,11,217,184,0,94.0%,0.0%,2.3%,0.9%,0.0%,2.8%
ARKPORT CENTRAL SCHOOL,ARKPORT,STEUBEN,477,100.0%,100.0%,0,0,0.0%,100.0%,0,267,477,0,92.6%,0.2%,4.8%,1.3%,0.7%,0.4%
ARLINGTON HIGH SCHOOL,ARLINGTON,DUTCHESS,2694,100.0%,100.0%,0,0,2.5%,73.2%,69,2400,2683,878,65.6%,8.3%,18.9%,4.1%,0.0%,3.0%
ARTHUR S MAY SCHOOL,ARLINGTON,DUTCHESS,504,100.0%,100.0%,0,0,2.0%,73.2%,10,369,494,135,44.0%,14.7%,28.9%,4.8%,0.0%,7.6%
BEEKMAN SCHOOL,ARLINGTON,DUTCHESS,413,100.0%,100.0%,0,0,2.4%,61.7%,10,255,403,158,73.7%,1.7%,20.0%,0.7%,0.0%,3.9%
LAGRANGE MIDDLE SCHOOL,ARLINGTON,DUTCHESS,922,100.0%,100.0%,0,0,3.8%,78.1%,35,717,887,201,54.5%,11.9%,22.0%,4.6%,0.2%,6.8%
OVERLOOK PRIMARY SCHOOL,ARLINGTON,DUTCHESS,391,100.0%,100.0%,0,0,1.3%,74.9%,5,293,386,98,62.5%,9.3%,19.6%,4.4%,0.0%,4.1%
TITUSVILLE INTERMEDIATE,ARLINGTON,DUTCHESS,372,100.0%,100.0%,0,0,0.8%,69.4%,3,258,369,114,57.3%,11.1%,23.5%,4.3%,0.0%,3.8%
TRAVER ROAD PRIMARY SCHOOL,ARLINGTON,DUTCHESS,309,100.0%,100.0%,0,0,3.3%,72.8%,7,219,204,82,67.0%,4.5%,18.8%,1.6%,0.3%,7.8%
UNION VALE MIDDLE SCHOOL,ARLINGTON,DUTCHESS,862,100.0%,94.2%,0,53,0.3%,88.4%,3,809,862,53,71.4%,4.9%,16.6%,2.4%,0.0%,4.7%
VAIL FARM ELEMENTARY SCHOOL,ARLINGTON,DUTCHESS,628,100.0%,100.0%,0,0,1.8%,70.0%,11,431,617,185,72.1%,3.5%,18.4%,2.1%,0.0%,4.0%
WEST ROAD/D'AQUANNI INTERM SCH,ARLINGTON,DUTCHESS,334,100.0%,90.8%,0,31,4.5%,79.8%,15,268,319,37,65.1%,7.7%,18.0%,2.1%,0.0%,7.1%
ATTICA ELEMENTARY SCHOOL,ATTICA,WYOMING,439,95.7%,98.6%,19,6,0.0%,92.3%,0,405,420,28,94.1%,0.5%,3.2%,0.5%,0.2%,1.6%
ATTICA JUNIOR HIGH SCHOOL,ATTICA,WYOMING,323,96.9%,100.0%,10,0,0.0%,100.0%,0,323,313,0,93.5%,1.5%,3.1%,0.6%,0.3%,0.9%
ATTICA SENIOR HIGH SCHOOL,ATTICA,WYOMING,411,95.9%,100.0%,17,0,0.0%,99.3%,0,408,394,3,96.3%,1.0%,1.2%,1.0%,0.2%,0.2%
AUBURN HIGH SCHOOL,AUBURN,CAYUGA,1259,100.0%,100.0%,0,0,5.1%,66.0%,64,831,1195,428,78.7%,6.3%,5.0%,0.7%,0.0%,9.3%
AUBURN JUNIOR HIGH SCHOOL,AUBURN,CAYUGA,636,100.0%,100.0%,0,0,9.0%,74.2%,63,472,636,164,77.9%,5.5%,4.7%,0.8%,0.0%,11.1%
CASEY PARK ELEMENTARY SCHOOL,AUBURN,CAYUGA,457,100.0%,100.0%,0,0,10.5%,92.1%,48,421,409,36,64.2%,8.2%,6.6%,0.2%,0.0%,20.8%
GENESEE STREET ELEMENTARY SCHOOL,AUBURN,CAYUGA,334,100.0%,100.0%,0,0,11.1%,97.0%,37,324,297,10,60.0%,13.4%,11.0%,0.6%,0.3%,14.6%
HERMAN AVENUE ELEMENTARY SCHOOL,AUBURN,CAYUGA,467,100.0%,100.0%,0,0,7.0%,81.8%,35,390,467,87,80.7%,3.1%,5.9%,0.9%,0.0%,9.4%
OWASCO ELEMENTARY SCHOOL,AUBURN,CAYUGA,369,100.0%,100.0%,0,0,6.5%,74.3%,24,274,345,95,82.6%,3.0%,4.1%,0.6%,0.3%,9.4%
WILLIAM H SEWARD ELEMENTARY SCHOOL,AUBURN,CAYUGA,489,100.0%,100.0%,0,0,6.3%,88.5%,31,433,458,56,72.5%,7.6%,5.7%,1.0%,0.2%,12.9%
AUSABLE FORKS ELEMENTARY SCHOOL,AUSABLE VALLEY,CLINTON,256,100.0%,100.0%,0,0,3.4%,92.9%,8,237,230,18,95.0%,2.3%,0.0%,0.0%,0.0%,2.7%
AUSABLE VALLEY HIGH SCHOOL,AUSABLE VALLEY,CLINTON,354,100.0%,100.0%,0,0,6.2%,100.0%,22,354,332,0,95.8%,3.7%,0.3%,0.3%,0.0%,0.0%
AUSABLE VALLEY MIDDLE SCHOOL,AUSABLE VALLEY,CLINTON,170,100.0%,100.0%,0,0,7.1%,100.0%,12,170,158,0,98.2%,1.2%,0.0%,0.0%,0.0%,0.6%
KEESEVILLE PRIMARY SCHOOL,AUSABLE VALLEY,CLINTON,438,100.0%,100.0%,0,0,3.6%,95.9%,15,420,405,18,98.7%,1.0%,0.3%,0.0%,0.0%,0.0%
ALGONQUIN MIDDLE SCHOOL,AVERILL PARK,RENSSELAER,629,97.7%,100.0%,15,0,2.3%,100.0%,15,629,614,0,89.9%,1.4%,2.4%,1.1%,0.0%,5.2%
AVERILL PARK HIGH SCHOOL,AVERILL PARK,RENSSELAER,881,98.3%,100.0%,15,0,1.7%,100.0%,15,881,866,0,91.3%,0.9%,3.9%,1.0%,0.0%,2.9%
MILLER HILL SCHOOL,AVERILL PARK,RENSSELAER,377,99.0%,46.7%,4,201,1.0%,0.0%,4,0,373,176,92.7%,0.3%,3.7%,0.3%,0.3%,2.9%
POESTENKILL ES,AVERILL PARK,RENSSELAER,348,98.9%,57.2%,4,149,1.1%,0.0%,4,0,344,199,91.9%,1.7%,2.6%,0.3%,0.0%,3.5%
WEST SAND LAKE ELEMENTARY SCHOOL,AVERILL PARK,RENSSELAER,382,97.9%,59.2%,8,156,2.1%,0.0%,8,0,374,226,87.8%,1.0%,6.3%,0.5%,0.0%,4.4%
AVOCA CENTRAL SCHOOL,AVOCA,STEUBEN,366,84.2%,100.0%,58,0,4.1%,100.0%,15,366,293,0,92.9%,0.8%,2.5%,0.0%,0.3%,3.6%
AVON HIGH SCHOOL,AVON,LIVINGSTON,343,100.0%,100.0%,0,0,1.5%,100.0%,5,343,338,0,93.2%,0.9%,3.0%,1.8%,0.3%,0.9%
AVON MIDDLE SCHOOL,AVON,LIVINGSTON,305,99.0%,100.0%,3,0,1.0%,100.0%,3,305,302,0,87.6%,2.9%,5.9%,1.3%,0.7%,1.6%
AVON PRIMARY SCHOOL,AVON,LIVINGSTON,301,100.0%,100.0%,0,0,1.3%,100.0%,4,301,297,0,84.7%,2.3%,8.3%,0.7%,0.3%,3.7%
BABYLON ELEMENTARY SCHOOL,BABYLON,SUFFOLK,362,100.0%,100.0%,0,0,0.0%,100.0%,0,362,362,0,72.4%,2.2%,19.2%,1.4%,0.0%,4.7%
BABYLON JUNIOR-SENIOR HIGH SCHOOL,BABYLON,SUFFOLK,703,100.0%,100.0%,0,0,0.6%,100.0%,4,703,699,0,76.8%,2.7%,14.1%,4.3%,0.0%,2.1%
BABYLON MEMORIAL GRADE SCHOOL,BABYLON,SUFFOLK,464,100.0%,100.0%,0,0,0.0%,100.0%,0,464,464,0,73.7%,3.7%,17.5%,2.6%,0.0%,2.6%
BAINBRIDGE-GUILFORD HIGH SCHOOL,BAINBRIDGE GUILFRD,CHENANGO,371,99.2%,100.0%,3,0,3.7%,100.0%,14,371,357,0,89.7%,0.8%,3.8%,1.4%,0.5%,3.8%
GREENLAWN ELEMENTARY SCHOOL,BAINBRIDGE GUILFRD,CHENANGO,132,100.0%,100.0%,0,0,5.3%,100.0%,7,132,125,0,91.0%,0.7%,2.5%,0.4%,0.0%,5.4%
GUILFORD ELEMENTARY SCHOOL,BAINBRIDGE GUILFRD,CHENANGO,277,100.0%,100.0%,0,0,2.9%,100.0%,8,277,269,0,91.8%,0.0%,6.7%,0.0%,0.0%,1.5%
BALDWIN MIDDLE SCHOOL,BALDWIN,NASSAU,1037,100.0%,100.0%,0,0,2.4%,100.0%,25,1037,1012,0,9.8%,51.0%,31.6%,4.2%,0.0%,3.4%
BALDWIN SENIOR HIGH SCHOOL,BALDWIN,NASSAU,1568,100.0%,100.0%,0,0,2.4%,100.0%,38,1568,1530,0,15.0%,46.8%,29.8%,5.0%,0.1%,3.3%
BROOKSIDE ELEMENTARY SCHOOL,BALDWIN,NASSAU,243,100.0%,11.9%,0,215,4.5%,11.9%,11,29,232,0,3.6%,56.9%,27.8%,4.0%,0.4%,7.3%
LENOX ELEMENTARY SCHOOL,BALDWIN,NASSAU,246,100.0%,8.5%,0,225,4.5%,8.5%,11,21,235,0,1.6%,58.9%,34.3%,2.0%,0.0%,3.2%
MEADOW ELEMENTARY SCHOOL,BALDWIN,NASSAU,576,100.0%,10.4%,0,516,4.7%,10.4%,27,60,549,0,12.0%,43.0%,31.9%,6.5%,0.4%,6.2%
PLAZA ELEMENTARY SCHOOL,BALDWIN,NASSAU,443,100.0%,5.9%,0,417,3.6%,5.9%,16,26,427,0,12.6%,40.0%,38.1%,6.2%,0.5%,2.7%
STEELE ELEMENTARY SCHOOL,BALDWIN,NASSAU,320,100.0%,9.4%,0,290,4.7%,9.4%,15,30,305,0,9.2%,35.7%,42.8%,7.4%,0.3%,4.6%
CATHERINE M MCNAMARA ELEMENTARY SCH,BALDWINSVILLE,ONONDAGA,525,100.0%,100.0%,0,0,1.1%,100.0%,6,525,519,0,84.6%,2.1%,7.6%,0.6%,0.0%,5.1%
CHARLES W BAKER HIGH SCHOOL,BALDWINSVILLE,ONONDAGA,1259,100.0%,100.0%,0,0,0.2%,100.0%,3,1259,1256,0,87.7%,2.1%,4.3%,1.2%,0.4%,4.3%
DONALD S RAY SCHOOL,BALDWINSVILLE,ONONDAGA,846,100.0%,100.0%,0,0,0.9%,100.0%,8,846,838,0,87.8%,2.4%,4.4%,0.8%,0.1%,4.5%
HARRY E ELDEN ELEMENTARY SCHOOL,BALDWINSVILLE,ONONDAGA,454,100.0%,100.0%,0,0,1.3%,100.0%,6,454,448,0,81.5%,5.5%,7.0%,0.2%,0.2%,5.5%
L PEARL PALMER ELEMENTARY SCHOOL,BALDWINSVILLE,ONONDAGA,461,100.0%,100.0%,0,0,1.3%,100.0%,6,461,455,0,91.3%,1.5%,1.7%,0.0%,0.0%,5.4%
MAE E REYNOLDS SCHOOL,BALDWINSVILLE,ONONDAGA,407,100.0%,100.0%,0,0,1.5%,100.0%,6,407,396,0,86.7%,1.5%,4.7%,0.2%,0.2%,6.7%
THEODORE R DURGEE JUNIOR HIGH SCH,BALDWINSVILLE,ONONDAGA,874,100.0%,100.0%,0,0,0.5%,100.0%,4,874,870,0,86.7%,2.6%,4.7%,0.8%,0.3%,4.8%
VAN BUREN ELEMENTARY SCHOOL,BALDWINSVILLE,ONONDAGA,522,100.0%,100.0%,0,0,1.1%,100.0%,6,522,516,0,88.9%,1.1%,3.4%,1.0%,0.0%,5.6%
