School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
INTERNATIONAL CHARTER SCHOOL OF NY,INTERNATIONAL CHARTER SCHOOL,KINGS,418,100.0%,100.0%,0,0,0.5%,17.2%,2,72,416,346,28.6%,36.9%,18.3%,6.1%,0.7%,9.3%
INTERNATIONAL LEADERSHIP CHARTER HIG,INTERNATIONAL LEADERSHIP CHA,BRONX,330,91.7%,96.5%,30,12,8.3%,35.1%,30,120,300,210,1.5%,12.2%,81.1%,1.5%,1.7%,2.0%
INWOOD ACAD FOR LEADERSHIP CHARTER,INWOOD ACAD FOR LEADERSHIP C,NEW YORK,937,100.0%,100.0%,0,0,1.8%,100.0%,17,937,919,0,0.7%,5.2%,93.2%,0.4%,0.2%,0.2%
ELMA PRIMARY SCHOOL,IROQUOIS,ERIE,282,100.0%,100.0%,0,0,1.1%,100.0%,3,282,279,0,94.7%,0.0%,1.1%,1.1%,0.0%,3.2%
IROQUOIS INTERMEDIATE SCHOOL,IROQUOIS,ERIE,143,100.0%,100.0%,0,0,0.7%,100.0%,1,143,142,0,95.8%,0.0%,0.7%,0.7%,0.0%,2.8%
IROQUOIS MIDDLE SCHOOL,IROQUOIS,ERIE,497,100.0%,100.0%,0,0,1.0%,100.0%,5,497,492,0,95.2%,0.2%,1.2%,0.4%,0.0%,3.0%
IROQUOIS SENIOR HIGH SCHOOL,IROQUOIS,ERIE,707,100.0%,100.0%,0,0,0.6%,100.0%,4,707,703,0,93.7%,0.9%,2.2%,1.0%,0.3%,2.0%
MARILLA PRIMARY SCHOOL,IROQUOIS,ERIE,221,100.0%,100.0%,0,0,0.9%,100.0%,2,221,219,0,95.5%,0.5%,2.7%,0.0%,0.0%,1.4%
WALES PRIMARY SCHOOL,IROQUOIS,ERIE,216,100.0%,100.0%,0,0,1.4%,100.0%,3,216,213,0,94.9%,0.0%,1.9%,0.0%,0.0%,3.2%
DOWS LANE (K-3) SCHOOL,IRVINGTON,WESTCHESTER,496,100.0%,87.3%,0,63,0.2%,76.0%,1,377,495,56,70.5%,3.4%,8.1%,9.7%,0.0%,8.3%
IRVINGTON HIGH SCHOOL,IRVINGTON,WESTCHESTER,514,100.0%,61.9%,0,193,1.4%,37.0%,7,187,507,126,69.8%,6.7%,9.2%,10.3%,0.4%,3.8%
IRVINGTON MIDDLE SCHOOL,IRVINGTON,WESTCHESTER,433,100.0%,100.0%,0,0,0.2%,100.0%,1,433,432,0,67.1%,5.2%,10.4%,12.0%,0.0%,5.2%
MAIN STREET SCHOOL (4-5),IRVINGTON,WESTCHESTER,281,100.0%,100.0%,0,0,0.7%,95.7%,2,267,279,12,69.7%,2.2%,11.9%,9.4%,0.0%,6.9%
FRANCIS X HEGARTY ELEMENTARY SCHOOL,ISLAND PARK,NASSAU,388,100.0%,100.0%,0,0,1.5%,100.0%,6,388,382,0,49.6%,2.8%,40.8%,3.1%,0.0%,3.6%
ISLAND PARK LINCOLN ORENS MS,ISLAND PARK,NASSAU,317,100.0%,100.0%,0,0,3.8%,100.0%,12,317,305,0,47.5%,4.1%,41.8%,3.8%,0.9%,1.9%
ISLAND TREES HIGH SCHOOL,ISLAND TREES,NASSAU,725,100.0%,100.0%,0,0,0.1%,100.0%,1,725,723,0,66.0%,1.5%,19.8%,12.5%,0.1%,0.0%
ISLAND TREES MIDDLE SCHOOL,ISLAND TREES,NASSAU,655,100.0%,100.0%,0,0,0.2%,100.0%,1,655,654,0,59.3%,1.5%,23.5%,13.8%,0.9%,0.9%
J FRED SPARKE SCHOOL,ISLAND TREES,NASSAU,317,100.0%,80.1%,0,63,0.3%,56.5%,1,179,316,75,50.5%,0.9%,28.4%,17.4%,0.3%,2.5%
MICHAEL F STOKES SCHOOL,ISLAND TREES,NASSAU,460,100.0%,100.0%,0,0,0.4%,100.0%,2,460,458,0,57.6%,1.7%,21.9%,16.5%,0.2%,2.2%
COMMACK ROAD ELEMENTARY SCHOOL,ISLIP,SUFFOLK,454,98.5%,34.4%,7,298,0.7%,14.1%,3,64,444,92,43.8%,6.2%,37.8%,8.4%,0.0%,3.8%
ISLIP HIGH SCHOOL,ISLIP,SUFFOLK,938,97.5%,49.3%,23,476,2.3%,27.4%,22,257,893,205,57.5%,5.5%,29.0%,5.0%,0.1%,3.0%
ISLIP MIDDLE SCHOOL,ISLIP,SUFFOLK,640,100.0%,57.0%,0,275,2.3%,39.2%,15,251,625,114,53.0%,6.8%,31.6%,5.0%,0.3%,3.3%
MAUD S SHERWOOD ELEMENTARY SCHOOL,ISLIP,SUFFOLK,306,98.4%,32.0%,5,208,1.0%,12.1%,3,37,298,61,64.5%,3.3%,26.7%,3.3%,0.0%,2.3%
WING ELEMENTARY SCHOOL,ISLIP,SUFFOLK,378,99.2%,48.4%,3,195,0.3%,26.7%,1,101,374,82,46.8%,4.5%,36.7%,5.3%,0.3%,6.4%
BELLE SHERMAN SCHOOL,ITHACA,TOMPKINS,310,100.0%,100.0%,0,0,1.3%,100.0%,4,310,306,0,52.2%,7.6%,9.8%,17.7%,0.6%,12.0%
BEVERLY J MARTIN ELEMENTARY SCHOOL,ITHACA,TOMPKINS,265,100.0%,100.0%,0,0,2.6%,100.0%,7,265,258,0,42.5%,23.9%,14.9%,5.6%,0.0%,13.1%
BOYNTON MIDDLE SCHOOL,ITHACA,TOMPKINS,568,100.0%,100.0%,0,0,5.3%,100.0%,30,568,538,0,66.1%,7.7%,10.0%,5.1%,0.2%,10.9%
CAROLINE ELEMENTARY SCHOOL,ITHACA,TOMPKINS,248,100.0%,100.0%,0,0,0.4%,100.0%,1,248,247,0,81.9%,3.5%,6.7%,0.4%,0.4%,7.1%
CAYUGA HTS ELEMENTARY SCHOOL,ITHACA,TOMPKINS,328,100.0%,100.0%,0,0,2.4%,100.0%,8,328,320,0,61.8%,9.1%,9.4%,7.9%,0.9%,10.9%
DEWITT MIDDLE SCHOOL,ITHACA,TOMPKINS,496,100.0%,100.0%,0,0,1.2%,100.0%,6,496,490,0,58.3%,8.9%,5.4%,17.3%,0.2%,9.9%
ENFIELD SCHOOL,ITHACA,TOMPKINS,154,100.0%,100.0%,0,0,7.8%,100.0%,12,154,142,0,73.4%,5.8%,7.1%,2.6%,0.0%,11.0%
FALL CREEK ELEMENTARY SCHOOL,ITHACA,TOMPKINS,220,100.0%,100.0%,0,0,1.4%,100.0%,3,220,217,0,66.5%,2.7%,10.9%,2.7%,0.5%,16.7%
