District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
BINGHAMTON,BROOME,4963,95.3%,98.5%,232,71,1.6%,98.5%,80,4803,4602,0,40.6%,29.0%,15.3%,2.8%,0.1%,12.1%
OSSINING,WESTCHESTER,4942,100.0%,100.0%,0,0,2.3%,71.6%,113,3544,4800,1405,19.6%,9.4%,64.0%,3.9%,0.0%,3.1%
ITHACA,TOMPKINS,4901,100.0%,100.0%,1,0,2.4%,100.0%,119,4901,4763,0,63.4%,7.5%,8.1%,9.9%,0.2%,10.9%
BRONXVILLE,WESTCHESTER,4866,100.0%,100.0%,0,0,0.0%,77.8%,0,3786,4866,1080,79.4%,0.3%,6.9%,7.2%,0.0%,6.1%
WESTBURY,NASSAU,4843,82.2%,76.4%,767,1161,11.1%,52.3%,477,2568,3055,1184,2.3%,21.4%,74.5%,1.2%,0.3%,0.2%
PINE BUSH,ORANGE,4808,84.2%,98.4%,759,68,0.2%,51.3%,10,2197,4049,2018,70.5%,9.7%,15.7%,1.9%,0.3%,1.9%
NORTHPORT,SUFFOLK,4794,100.0%,100.0%,1,0,0.0%,78.5%,1,4794,4776,1311,80.3%,0.7%,13.2%,2.9%,0.0%,2.8%
COPIAGUE,SUFFOLK,4788,100.0%,100.0%,0,0,4.8%,100.0%,226,4788,4472,0,11.9%,20.5%,64.2%,1.7%,0.1%,1.6%
GUILDERLAND,ALBANY,4764,100.0%,100.0%,0,0,0.8%,62.4%,40,2933,4724,1764,72.8%,4.1%,4.6%,14.5%,0.3%,3.7%
HIGHLAND,ULSTER,4752,100.0%,100.0%,0,0,1.5%,78.7%,72,3744,4692,1011,70.5%,6.7%,14.1%,3.8%,0.1%,4.8%
SOUTH COLONIE,ALBANY,4751,98.0%,60.8%,97,1872,0.0%,60.8%,2,2898,4678,0,62.8%,8.9%,9.3%,10.8%,0.1%,8.1%
VALLEY STREAM CHS,NASSAU,4642,100.0%,100.0%,0,0,3.4%,96.4%,155,4475,4460,167,15.7%,29.5%,29.7%,23.2%,0.2%,1.8%
JAMESTOWN,CHAUTAUQUA,4636,96.3%,91.6%,172,388,0.0%,87.0%,0,4032,4460,212,61.0%,3.3%,24.3%,0.4%,0.2%,10.8%
SCARSDALE,WESTCHESTER,4626,100.0%,100.0%,0,0,0.0%,74.0%,0,3423,4626,1203,61.7%,1.2%,7.7%,22.6%,0.0%,6.7%
PORT CHESTER-RYE,WESTCHESTER,4595,99.1%,100.0%,43,0,6.9%,81.0%,318,3723,4216,872,11.8%,3.2%,82.5%,1.6%,0.3%,0.5%
