District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
WALLKILL,ORANGE,2789,100.0%,100.0%,0,0,0.8%,100.0%,23,2789,2766,0,63.6%,6.1%,26.3%,1.1%,0.1%,2.8%
WYANDANCH,SUFFOLK,2785,100.0%,99.2%,0,22,5.0%,93.8%,139,2613,2646,150,1.0%,38.5%,59.6%,0.2%,0.1%,0.5%
CARTHAGE,JEFFERSON,2785,100.0%,100.0%,0,0,1.4%,100.0%,38,2785,2751,0,74.1%,4.9%,11.1%,1.8%,0.7%,7.4%
ROCKY POINT,SUFFOLK,2785,87.9%,100.0%,338,0,2.3%,100.0%,65,2785,2382,0,77.3%,1.5%,16.8%,1.5%,0.0%,3.0%
MOHONASEN,SCHENECTADY,2771,98.4%,89.0%,45,306,0.3%,89.0%,7,2465,2721,0,75.1%,4.7%,9.1%,3.6%,0.3%,7.3%
PLAINEDGE,NASSAU,2767,99.7%,100.0%,9,0,0.0%,100.0%,0,2767,2758,0,84.8%,0.6%,8.8%,4.3%,0.2%,1.2%
LYNBROOK,NASSAU,2762,100.0%,77.0%,0,636,0.1%,77.0%,2,2126,2583,0,66.0%,4.4%,19.7%,6.7%,0.5%,2.6%
MONTICELLO,SULLIVAN,2757,98.1%,99.7%,52,7,2.4%,89.4%,65,2466,2640,284,40.9%,16.7%,33.2%,2.1%,0.1%,7.1%
WANTAGH,NASSAU,2754,100.0%,100.0%,0,0,0.2%,100.0%,5,2754,2749,0,85.5%,0.5%,8.3%,2.8%,0.2%,2.7%
TARRYTOWN,WESTCHESTER,2751,100.0%,100.0%,0,0,3.4%,89.7%,93,2469,2658,282,30.3%,2.5%,60.6%,3.0%,0.0%,3.7%
CATTARAUGUS,CATTARAUGUS,2721,96.8%,100.0%,29,0,27.9%,100.0%,253,2715,625,0,93.2%,0.9%,2.2%,0.2%,0.5%,3.0%
ISLIP,SUFFOLK,2716,98.6%,46.5%,38,1452,1.6%,26.1%,44,710,2634,554,53.5%,5.5%,31.9%,5.4%,0.1%,3.6%
NYACK,ROCKLAND,2711,100.0%,100.0%,0,0,4.6%,100.0%,125,2711,2587,0,41.8%,16.1%,28.6%,7.2%,0.1%,6.2%
LYONS,WAYNE,2685,100.0%,100.0%,0,0,8.8%,100.0%,255,2685,2655,0,76.7%,8.0%,4.7%,0.0%,0.0%,10.6%
BEACON,DUTCHESS,2671,80.2%,100.0%,651,0,1.7%,98.8%,57,2581,2587,32,44.9%,15.5%,29.2%,2.8%,0.0%,7.5%
JAMESVILLE-DEWITT,ONONDAGA,2635,100.0%,100.0%,0,0,1.1%,41.8%,29,1102,2581,1532,72.7%,7.2%,3.7%,9.8%,0.3%,6.3%
SAYVILLE,SUFFOLK,2623,100.0%,100.0%,0,0,0.1%,100.0%,3,2623,2620,0,86.7%,1.0%,7.6%,2.1%,0.1%,2.5%
AVERILL PARK,RENSSELAER,2617,98.3%,80.7%,46,506,1.7%,57.7%,46,1510,2571,601,90.7%,1.1%,3.7%,0.8%,0.0%,3.7%
NORTH SHORE,NASSAU,2518,100.0%,100.0%,0,0,0.8%,100.0%,20,2518,2498,0,75.8%,0.3%,12.3%,7.3%,0.3%,4.0%
GLOVERSVILLE,FULTON,2513,100.0%,94.3%,0,128,1.3%,74.0%,24,1668,1884,457,78.4%,3.9%,9.4%,0.6%,0.3%,7.3%
NEW HARTFORD,ONEIDA,2491,100.0%,100.0%,0,0,0.5%,46.6%,13,1161,2478,1330,85.5%,0.9%,4.7%,5.7%,0.0%,3.2%
MASSENA,SAINT LAWRENCE,2483,100.0%,100.0%,0,0,1.8%,90.2%,45,2180,2405,237,85.1%,1.7%,1.5%,0.9%,9.6%,1.1%
MAINE ENDWELL,BROOME,2448,100.0%,99.4%,0,14,2.9%,94.1%,70,2295,2378,129,87.6%,2.5%,3.8%,1.3%,0.2%,4.6%
PORT JERVIS,ORANGE,2431,100.0%,100.0%,0,0,2.8%,81.5%,67,1982,2364,449,64.1%,8.3%,18.0%,1.7%,0.4%,7.4%
WHITNEY POINT,BROOME,2402,100.0%,100.0%,0,0,2.2%,100.0%,31,2402,1373,0,96.2%,0.2%,1.6%,0.3%,0.1%,1.7%
MILLER PLACE,SUFFOLK,2382,100.0%,47.5%,0,791,0.5%,42.9%,11,647,2371,70,84.6%,1.6%,9.4%,2.1%,0.0%,2.3%
LAWRENCE,NASSAU,2346,100.0%,100.0%,0,0,60.2%,100.0%,1413,2346,933,0,11.9%,16.0%,66.7%,4.1%,0.9%,0.5%
PEARL RIVER,ROCKLAND,2340,100.0%,100.0%,0,0,0.7%,100.0%,16,2340,2324,0,75.5%,1.6%,15.8%,4.8%,0.0%,2.3%
SAUGERTIES,ULSTER,2338,97.2%,97.6%,66,56,0.3%,58.3%,6,1364,2266,918,75.4%,1.5%,14.2%,2.2%,0.2%,6.5%
ARDSLEY,WESTCHESTER,2316,100.0%,100.0%,0,0,0.0%,57.9%,0,1340,2316,975,57.3%,3.3%,13.2%,20.5%,0.0%,5.7%
SPRINGVILLE-GRIFF,ERIE,2314,100.0%,93.7%,0,109,4.9%,70.5%,84,1212,1636,399,94.3%,0.3%,2.4%,0.7%,0.7%,1.6%
SCOTIA GLENVILLE,SCHENECTADY,2299,100.0%,92.3%,0,176,1.0%,37.6%,24,865,2275,1258,89.1%,4.2%,5.0%,1.5%,0.1%,0.0%
LE ROY,GENESEE,2294,93.5%,100.0%,160,0,6.5%,100.0%,160,2246,2134,0,92.1%,1.9%,2.9%,0.4%,0.1%,2.6%
YORKSHRE-PIONEER,CATTARAUGUS,2284,90.5%,97.6%,220,66,0.0%,76.4%,0,2137,2100,595,95.2%,0.6%,2.0%,0.8%,0.2%,1.3%
CLYDE-SAVANNAH,WAYNE,2283,100.0%,100.0%,0,0,10.0%,100.0%,228,2283,2055,0,86.3%,2.9%,6.3%,0.5%,0.0%,4.0%
HONEOYE FALLS-LIMA,LIVINGSTON,2272,100.0%,100.0%,0,0,2.1%,100.0%,43,2075,2033,0,91.5%,0.8%,3.4%,1.3%,0.0%,3.0%
BYRAM HILLS,WESTCHESTER,2261,100.0%,100.0%,0,0,1.1%,100.0%,24,2261,2237,0,81.7%,0.5%,6.6%,7.7%,0.1%,3.5%
MALONE,FRANKLIN,2232,95.2%,100.0%,107,0,11.0%,99.0%,243,2209,1866,23,96.6%,0.4%,1.2%,0.4%,0.6%,0.8%
NANUET,ROCKLAND,2224,100.0%,100.0%,0,0,0.0%,100.0%,0,2224,2224,0,44.8%,8.3%,28.6%,15.9%,0.1%,2.4%
JOHNSON CITY,BROOME,2224,100.0%,100.0%,0,0,2.4%,74.4%,54,1654,2170,570,55.7%,12.6%,12.1%,8.8%,0.1%,10.7%
HENDRICK HUDSON,WESTCHESTER,2214,100.0%,100.0%,0,0,0.1%,87.5%,2,1944,2212,278,55.1%,5.9%,30.8%,3.2%,0.1%,4.9%
CHEEKTOWAGA,ERIE,2203,99.9%,95.6%,3,96,0.7%,95.6%,15,2107,2188,0,38.2%,35.4%,9.0%,9.9%,0.2%,7.4%
SEAFORD,NASSAU,2199,99.5%,100.0%,10,0,0.0%,100.0%,0,2199,2199,0,86.6%,0.6%,8.7%,2.8%,0.0%,1.3%
LANSINGBURGH,RENSSELAER,2187,100.0%,100.0%,0,0,1.6%,100.0%,34,1799,2142,0,56.7%,18.3%,14.1%,0.6%,0.1%,10.1%
BATAVIA,GENESEE,2184,100.0%,85.2%,0,378,4.5%,85.2%,98,2184,2085,0,71.2%,12.5%,10.1%,1.1%,0.9%,4.2%
ISLAND TREES,NASSAU,2157,100.0%,97.1%,0,63,0.2%,93.6%,5,2019,2151,75,59.9%,1.5%,22.6%,14.4%,0.4%,1.1%
POUGHKEEPSIE,DUTCHESS,2145,93.3%,95.0%,145,108,2.8%,42.9%,61,920,1963,1117,6.9%,43.0%,41.0%,0.4%,0.0%,8.7%
C-V AT ILION-MOHAWK CSD,HERKIMER,2126,98.6%,100.0%,29,0,3.1%,100.0%,66,2126,2037,0,90.5%,2.0%,2.9%,0.8%,0.0%,3.9%
MOUNT SINAI,SUFFOLK,2094,100.0%,100.0%,0,0,0.0%,16.9%,0,353,2094,1741,81.4%,1.1%,9.4%,6.2%,0.0%,1.9%
EVANS-BRANT,ERIE,2087,100.0%,100.0%,0,0,11.7%,15.4%,246,321,1851,1766,75.2%,0.8%,4.8%,0.4%,15.4%,3.3%
IROQUOIS,ERIE,2066,100.0%,100.0%,0,0,0.9%,100.0%,18,2066,2048,0,94.6%,0.4%,1.7%,0.6%,0.1%,2.5%
HAMPTON BAYS,SUFFOLK,2056,100.0%,100.0%,0,0,1.9%,98.0%,38,2015,1977,41,35.6%,0.6%,61.9%,1.0%,0.1%,0.8%
MARYVALE,ERIE,2053,100.0%,100.0%,0,0,1.7%,80.2%,37,1647,2090,406,70.9%,11.1%,5.9%,6.7%,0.5%,5.0%
GENEVA,ONTARIO,2030,97.5%,100.0%,50,0,4.1%,100.0%,84,2030,1896,0,40.8%,10.5%,34.8%,1.7%,0.0%,12.1%
SHOREHAM-WADING R,SUFFOLK,2030,100.0%,100.0%,0,0,0.6%,100.0%,11,2030,1861,0,85.3%,1.1%,10.4%,1.8%,0.0%,1.5%
EDGEMONT,WESTCHESTER,2027,100.0%,100.0%,0,0,0.0%,32.0%,0,956,2027,2027,45.2%,2.1%,9.0%,36.1%,0.0%,7.5%
NORTH BELLMORE,NASSAU,2022,100.0%,100.0%,0,0,0.0%,60.0%,0,1206,2023,803,68.3%,2.7%,16.8%,9.7%,0.3%,2.2%
BEEKMANTOWN,CLINTON,2018,99.8%,100.0%,5,0,1.1%,100.0%,23,2018,1995,0,94.1%,1.6%,3.3%,0.8%,0.2%,0.0%
CAMDEN,ONEIDA,2012,83.1%,86.5%,358,271,5.4%,73.5%,114,1477,1650,262,93.5%,0.4%,3.1%,0.2%,0.3%,2.6%
OLEAN,CATTARAUGUS,2009,100.0%,100.0%,0,0,4.5%,100.0%,91,2009,1924,0,81.5%,3.9%,3.5%,2.5%,0.6%,7.9%
NEWARK,WAYNE,2004,100.0%,100.0%,0,0,6.3%,100.0%,127,2004,1877,0,69.8%,8.4%,16.0%,0.2%,0.2%,5.2%
BAYPORT BLUE POINT,SUFFOLK,2003,100.0%,100.0%,0,0,0.6%,100.0%,12,2003,1991,0,85.3%,1.9%,8.4%,2.1%,0.3%,2.1%
WAYNE,WAYNE,2002,100.0%,100.0%,0,0,0.9%,100.0%,19,2002,1983,0,92.7%,1.7%,2.8%,0.7%,0.0%,2.2%
ELWOOD,SUFFOLK,2000,90.5%,88.5%,100,281,0.2%,51.1%,2,1252,946,917,61.3%,6.1%,21.0%,8.8%,0.0%,2.8%
CORTLAND,CORTLAND,1997,100.0%,100.0%,0,0,4.2%,97.2%,85,1997,1922,57,85.8%,3.1%,3.9%,0.9%,0.1%,6.3%
LOCUST VALLEY,NASSAU,1990,100.0%,100.0%,0,0,0.9%,100.0%,17,1960,1943,0,72.9%,1.5%,20.4%,4.3%,0.0%,0.8%
FRANKLIN SQUARE,NASSAU,1984,100.0%,100.0%,0,0,0.5%,100.0%,10,1844,1935,0,57.0%,3.3%,24.5%,13.1%,0.3%,1.8%
SHERBURNE EARLVL,CHENANGO,1980,74.5%,100.0%,744,0,0.0%,97.9%,1,1938,2170,42,96.0%,0.6%,1.1%,0.3%,0.5%,1.5%
GLENS FALLS,WARREN,1956,98.9%,100.0%,21,0,0.7%,89.3%,13,1956,1922,234,85.5%,1.8%,5.5%,1.3%,0.1%,5.9%
DUNKIRK,CHAUTAUQUA,1944,93.2%,93.8%,132,152,0.4%,69.2%,7,1695,1808,604,35.9%,3.9%,56.1%,0.3%,0.3%,3.5%
MEXICO,OSWEGO,1944,100.0%,100.0%,0,0,3.6%,100.0%,70,1944,1874,0,94.5%,0.6%,1.9%,0.5%,0.2%,2.3%
COHOES,ALBANY,1932,86.0%,54.9%,270,871,0.1%,18.6%,2,359,1660,702,68.9%,10.8%,9.5%,1.9%,0.3%,8.6%
LEWISTON PORTER,NIAGARA,1926,99.9%,96.8%,1,62,0.7%,96.8%,13,1864,1913,0,91.3%,1.2%,2.4%,1.9%,0.3%,3.0%
CHITTENANGO,MADISON,1901,100.0%,100.0%,0,0,1.7%,90.6%,32,1723,1869,178,91.2%,0.8%,3.3%,0.7%,0.2%,3.7%
MT PLEASANT CENT,WESTCHESTER,1895,100.0%,100.0%,0,0,0.1%,74.6%,2,1413,1893,482,79.0%,0.5%,14.1%,4.6%,0.1%,1.7%
NEW PALTZ,ULSTER,1890,100.0%,96.1%,0,74,1.0%,37.8%,18,715,1872,1101,75.3%,4.1%,12.9%,2.6%,0.2%,4.9%
OWEGO-APALACHIN,TIOGA,1881,98.9%,98.5%,21,29,4.0%,97.0%,76,1852,1788,29,95.2%,0.9%,1.9%,0.4%,0.2%,1.4%
VALLEY STR HEMP 13,NASSAU,1869,100.0%,100.0%,0,0,0.2%,100.0%,3,1869,1866,0,22.8%,20.5%,28.5%,24.3%,0.5%,3.3%
LACKAWANNA,ERIE,1864,100.0%,100.0%,0,0,7.7%,78.8%,143,1864,1721,500,64.2%,13.6%,14.4%,2.9%,0.5%,4.4%
HOMER,CORTLAND,1851,100.0%,100.0%,0,0,4.6%,100.0%,86,1851,1765,0,92.9%,0.5%,3.2%,0.6%,0.2%,2.7%
EAST AURORA,ERIE,1849,100.0%,100.0%,0,0,0.3%,100.0%,4,1712,1189,0,94.0%,0.4%,3.1%,0.8%,0.0%,1.7%
EAST HAMPTON,SUFFOLK,1842,97.7%,100.0%,42,0,7.1%,79.2%,130,1459,1670,383,38.1%,2.3%,54.7%,2.0%,0.4%,2.5%
ONEIDA,ONEIDA,1840,100.0%,100.0%,0,0,7.4%,100.0%,134,1836,1672,0,87.2%,0.9%,2.6%,1.2%,2.8%,5.4%
WESTHAMPTON BEACH,SUFFOLK,1827,100.0%,100.0%,0,0,0.0%,100.0%,0,1827,1827,0,63.8%,1.3%,29.9%,1.6%,0.1%,3.3%
PERU,CLINTON,1826,99.9%,100.0%,1,0,2.4%,79.1%,44,1446,1781,383,93.5%,1.0%,1.0%,1.0%,0.4%,3.1%
SHERRILL,ONEIDA,1825,100.0%,91.0%,0,165,10.2%,91.0%,185,1667,1620,0,94.3%,0.4%,1.3%,0.9%,0.3%,2.9%
MARLBORO,ULSTER,1821,98.8%,100.0%,22,0,0.0%,60.0%,0,1445,1799,964,61.5%,10.2%,22.5%,1.6%,0.0%,4.3%
PALMYRA-MACEDON,WAYNE,1809,100.0%,100.0%,0,0,1.6%,100.0%,29,782,1780,0,91.4%,1.0%,4.0%,0.4%,0.2%,3.0%
PLATTSBURGH,CLINTON,1779,100.0%,100.0%,0,0,0.8%,98.5%,14,1748,1761,27,86.0%,7.0%,2.0%,2.6%,0.4%,2.0%
ALBION,ORLEANS,1775,99.8%,100.0%,3,0,8.7%,100.0%,155,1775,1617,0,75.4%,11.8%,11.3%,0.7%,0.7%,0.0%
SCHALMONT,SCHENECTADY,1752,98.9%,100.0%,19,0,1.0%,100.0%,18,1752,1715,0,84.1%,1.9%,6.8%,1.8%,0.3%,5.1%
LIBERTY,SULLIVAN,1738,99.9%,99.7%,2,6,3.3%,99.1%,58,1734,1682,9,39.6%,8.0%,45.4%,1.3%,0.0%,5.8%
SOUTH JEFFERSON,JEFFERSON,1738,94.2%,100.0%,101,0,0.2%,61.4%,3,1738,1636,1091,95.5%,0.3%,1.5%,0.5%,0.2%,2.1%
RONDOUT VALLEY,ULSTER,1727,98.0%,94.9%,35,102,4.0%,84.3%,70,1675,1648,211,83.2%,3.2%,8.3%,2.5%,0.5%,2.4%
IRVINGTON,WESTCHESTER,1724,100.0%,85.1%,0,256,0.6%,73.7%,11,1264,1713,194,69.3%,4.7%,9.6%,10.4%,0.1%,5.9%
RAVENA COEYMANS,ALBANY,1723,95.2%,100.0%,86,0,1.6%,100.0%,29,1723,1676,0,80.7%,4.1%,8.1%,1.0%,0.1%,6.1%
BROADALBIN-PERTH,FULTON,1720,97.7%,84.9%,39,260,1.5%,44.9%,26,772,1655,688,94.8%,0.9%,2.8%,0.6%,0.0%,0.9%
MALVERNE,NASSAU,1711,100.0%,100.0%,0,0,0.1%,100.0%,2,749,1710,0,17.7%,44.2%,27.9%,6.6%,0.4%,3.2%
WESTHILL,ONONDAGA,1709,99.9%,100.0%,1,0,0.6%,58.7%,10,1003,1698,706,82.9%,5.4%,4.7%,1.9%,0.3%,4.8%
PHOENIX,OSWEGO,1709,21.4%,62.8%,1344,500,0.9%,54.3%,15,729,350,114,95.3%,0.5%,1.3%,0.3%,0.1%,2.5%
TONAWANDA,ERIE,1705,100.0%,100.0%,0,0,0.3%,100.0%,5,1705,1700,0,84.7%,2.2%,6.3%,1.3%,0.4%,5.1%
WEST HEMPSTEAD,NASSAU,1688,99.8%,100.0%,3,0,0.4%,71.8%,6,1212,1679,476,21.9%,21.2%,46.8%,7.3%,0.2%,2.7%
NORWICH,CHENANGO,1675,86.0%,100.0%,234,0,0.8%,98.5%,13,1650,1426,25,91.3%,3.0%,2.6%,1.1%,0.2%,1.9%
NEW HYDE PARK,NASSAU,1668,91.8%,54.9%,136,747,0.6%,17.9%,10,297,1522,614,21.8%,0.3%,14.3%,60.9%,0.2%,2.6%
RED HOOK,DUTCHESS,1663,97.5%,86.4%,42,225,1.0%,28.8%,16,476,1607,954,81.6%,2.0%,12.3%,2.2%,0.2%,1.7%
EAST WILLISTON,NASSAU,1655,100.0%,100.0%,0,0,0.1%,100.0%,2,1655,1653,0,55.4%,1.1%,7.5%,32.5%,0.2%,3.2%
ONEONTA,OTSEGO,1655,99.3%,92.7%,12,124,2.3%,92.0%,38,1553,1632,11,77.7%,6.1%,9.0%,3.7%,0.2%,3.4%
GREENBURGH,WESTCHESTER,1652,99.7%,99.8%,5,3,1.5%,99.2%,25,1641,1622,11,12.5%,35.1%,43.7%,6.6%,0.2%,1.8%
PLEASANTVILLE,WESTCHESTER,1652,100.0%,100.0%,0,0,1.2%,95.0%,19,1570,1633,82,74.1%,1.8%,14.4%,5.4%,0.1%,4.2%
COBLSKL-RCHMDVL,SCHOHARIE,1645,80.9%,61.9%,313,626,1.2%,61.9%,20,1018,1305,0,90.3%,1.2%,5.6%,1.0%,0.0%,1.9%
KINDERHOOK,COLUMBIA,1624,100.0%,100.0%,0,0,3.3%,77.6%,54,1258,1570,364,82.9%,1.9%,10.3%,1.4%,0.1%,3.5%
CHENANGO VALLEY,BROOME,1621,99.9%,100.0%,1,0,3.3%,100.0%,54,1621,1566,0,87.7%,1.7%,2.7%,1.5%,0.4%,6.0%
HUDSON,COLUMBIA,1611,98.4%,100.0%,25,0,3.8%,81.1%,62,1307,1524,305,40.4%,17.6%,17.2%,12.8%,0.1%,11.9%
HASTINGS ON HUDSON,WESTCHESTER,1587,100.0%,100.0%,0,0,0.8%,79.1%,12,1255,1575,332,70.5%,2.2%,15.1%,4.5%,0.0%,7.6%
COLD SPRING HARBOR,SUFFOLK,1586,100.0%,100.0%,0,0,0.0%,100.0%,0,1586,1586,0,86.0%,0.4%,5.2%,5.4%,0.1%,2.8%
PUTNAM VALLEY,PUTNAM,1585,100.0%,100.0%,0,0,0.2%,100.0%,3,1585,1582,0,66.4%,2.7%,25.4%,2.0%,0.1%,3.4%
WINDSOR,BROOME,1584,95.0%,98.1%,79,30,4.1%,98.1%,65,1509,1440,0,90.4%,1.6%,3.4%,0.9%,0.1%,3.6%
PHELPS-CLIFTON SPR,ONTARIO,1570,100.0%,100.0%,0,0,6.1%,100.0%,96,1570,1474,0,89.0%,0.9%,7.6%,0.7%,0.0%,1.8%
DEPEW,ERIE,1558,100.0%,100.0%,0,0,1.0%,100.0%,15,1558,1543,0,84.3%,3.8%,5.4%,2.0%,0.5%,4.0%
OGDENSBURG,SAINT LAWRENCE,1558,100.0%,100.0%,0,0,3.1%,72.1%,49,1123,1508,434,98.4%,0.3%,0.3%,0.3%,0.0%,0.7%
ALDEN,ERIE,1541,100.0%,78.4%,0,333,0.5%,78.4%,8,1210,1533,0,95.8%,0.8%,1.4%,0.5%,0.6%,0.9%
TIOGA,TIOGA,1530,90.6%,82.5%,144,222,2.5%,9.2%,38,117,1351,927,97.2%,0.2%,1.2%,0.2%,0.0%,1.1%
BABYLON,SUFFOLK,1529,100.0%,100.0%,0,0,0.3%,100.0%,4,1529,1525,0,74.8%,2.9%,16.3%,3.1%,0.0%,2.9%
CROTON HARMON,WESTCHESTER,1527,100.0%,100.0%,0,0,2.0%,91.0%,31,1390,1496,137,70.3%,1.6%,18.1%,6.8%,0.1%,3.1%
MERRICK,NASSAU,1526,100.0%,62.0%,0,611,0.0%,5.1%,0,82,1526,915,83.2%,1.9%,9.9%,3.9%,0.0%,1.0%
HORNELL,STEUBEN,1525,100.0%,100.0%,0,0,0.5%,100.0%,7,1525,1518,0,84.4%,3.7%,4.9%,0.9%,0.1%,6.0%
RYE NECK,WESTCHESTER,1522,100.0%,100.0%,0,0,0.7%,91.0%,10,1376,1502,136,61.8%,2.7%,21.3%,8.2%,0.1%,6.1%
ALEXANDER,GENESEE,1518,100.0%,100.0%,0,0,8.7%,61.5%,68,467,713,292,93.4%,0.8%,3.4%,0.7%,0.0%,1.8%
FLORAL PARK,NASSAU,1511,99.9%,100.0%,2,0,0.3%,100.0%,5,1511,1506,0,55.7%,2.9%,18.7%,19.2%,0.2%,3.3%
WATERLOO,SENECA,1505,98.7%,100.0%,20,0,4.1%,100.0%,61,1472,1424,0,86.9%,3.5%,5.5%,0.8%,0.1%,3.2%
OYSTER BAY,NASSAU,1504,100.0%,100.0%,0,0,6.7%,97.2%,101,1504,1403,43,63.3%,2.3%,26.4%,4.5%,0.2%,3.3%
CENTER MORICHES,SUFFOLK,1501,100.0%,100.0%,0,0,0.1%,48.4%,2,726,1499,775,70.7%,5.1%,18.8%,1.3%,4.1%,0.1%
SPACKENKILL,DUTCHESS,1495,100.0%,100.0%,0,0,0.3%,100.0%,4,1495,1491,0,56.5%,12.3%,14.6%,12.0%,0.1%,4.5%
ELLENVILLE,ULSTER,1490,99.9%,100.0%,1,0,2.9%,80.3%,43,1219,1446,300,44.8%,9.4%,38.2%,2.3%,0.3%,5.0%
DOBBS FERRY,WESTCHESTER,1490,100.0%,100.0%,0,0,0.3%,57.7%,5,859,1485,631,64.2%,3.0%,19.7%,6.5%,0.0%,6.6%
WAVERLY,TIOGA,1487,99.6%,95.1%,6,73,1.7%,95.1%,25,1414,1456,0,94.3%,0.9%,1.6%,0.9%,0.1%,2.2%
SARANAC,CLINTON,1484,96.0%,73.4%,61,402,4.0%,73.4%,61,1107,1422,0,96.8%,0.1%,0.9%,0.2%,0.1%,1.9%
FALLSBURG,SULLIVAN,1479,96.5%,94.9%,54,62,16.5%,76.7%,253,935,1225,222,29.9%,8.9%,54.4%,1.1%,0.8%,5.0%
GOUVERNEUR,SAINT LAWRENCE,1461,99.5%,100.0%,7,0,8.9%,100.0%,130,1461,1324,0,96.4%,0.9%,1.9%,0.1%,0.1%,0.5%
SOUTHAMPTON,SUFFOLK,1448,100.0%,100.0%,0,0,2.8%,100.0%,41,1448,1407,0,44.7%,2.1%,43.0%,1.7%,7.3%,1.3%
MARCELLUS,ONONDAGA,1443,100.0%,100.0%,0,0,1.6%,100.0%,23,1443,1420,0,94.1%,0.7%,2.4%,1.2%,0.1%,1.5%
SOLVAY,ONONDAGA,1440,99.3%,100.0%,10,0,1.0%,66.4%,15,1440,1418,729,70.1%,8.7%,9.9%,0.8%,1.4%,9.0%
WATERVLIET,ALBANY,1439,100.0%,79.2%,0,299,0.4%,71.3%,6,1026,1433,113,43.1%,18.2%,17.2%,9.5%,0.1%,11.8%
FREDONIA,CHAUTAUQUA,1436,98.2%,91.8%,26,148,0.3%,45.6%,4,827,1403,838,76.6%,1.4%,16.5%,0.7%,0.2%,4.6%
JOHNSTOWN,FULTON,1430,99.9%,98.5%,1,22,3.8%,97.8%,55,1399,1374,9,91.9%,0.7%,3.8%,1.1%,0.2%,2.2%
SCHUYLERVILLE,SARATOGA,1422,100.0%,100.0%,0,0,4.7%,100.0%,67,1422,1355,0,94.5%,0.8%,2.8%,0.6%,0.1%,1.1%
BATH,STEUBEN,1417,88.1%,100.0%,168,0,0.0%,100.0%,0,1417,1249,0,95.4%,2.5%,1.1%,0.2%,0.1%,0.8%
MORIAH,ESSEX,1412,95.5%,92.6%,18,107,10.1%,87.8%,40,1272,338,70,99.3%,0.3%,0.1%,0.0%,0.0%,0.3%
MEDINA,ORLEANS,1406,86.4%,97.3%,191,38,6.3%,96.6%,89,1358,1126,10,77.9%,4.5%,7.9%,0.4%,0.8%,8.6%
CHENANGO FORKS,BROOME,1397,100.0%,100.0%,0,0,1.4%,93.7%,19,1309,1378,88,91.8%,1.0%,2.4%,0.7%,0.1%,4.0%
VALLEY STR HEMP 30,NASSAU,1388,100.0%,100.0%,0,0,0.0%,100.0%,0,1388,4164,0,4.9%,35.7%,28.9%,27.3%,0.5%,2.6%
SALMON RIVER,FRANKLIN,1383,89.9%,100.0%,142,0,0.0%,83.5%,0,1383,1266,273,31.8%,0.0%,2.0%,0.0%,61.0%,5.2%
POTSDAM,SAINT LAWRENCE,1383,100.0%,100.0%,0,0,0.8%,100.0%,11,1383,1372,0,90.5%,1.4%,2.5%,3.7%,0.2%,1.7%
VALHALLA,WESTCHESTER,1377,100.0%,100.0%,0,0,0.0%,33.3%,0,459,1377,918,53.3%,7.6%,27.6%,6.4%,0.2%,4.8%
DRYDEN,TOMPKINS,1370,99.9%,100.0%,1,0,3.1%,89.3%,43,1223,1326,147,85.3%,1.8%,4.6%,1.4%,0.2%,6.7%
GENERAL BROWN,JEFFERSON,1365,99.5%,68.7%,13,427,11.4%,5.1%,306,69,2363,869,94.3%,1.3%,1.4%,1.4%,0.1%,1.5%
SUSQUEHANNA VALLEY,BROOME,1363,99.1%,100.0%,12,0,0.0%,100.0%,0,1363,1351,0,89.8%,1.7%,3.1%,1.5%,0.1%,3.8%
BRIARCLIFF MANOR,WESTCHESTER,1351,100.0%,100.0%,0,0,3.1%,100.0%,43,1351,1350,0,65.7%,2.8%,10.0%,16.1%,0.0%,5.5%
DANSVILLE,LIVINGSTON,1351,100.0%,100.0%,0,0,15.0%,100.0%,202,1351,1147,0,93.3%,1.3%,3.1%,0.1%,0.0%,2.1%
MECHANICVILLE,SARATOGA,1350,95.6%,80.1%,60,268,0.0%,52.9%,0,714,1290,368,89.6%,2.2%,3.0%,1.2%,0.0%,4.0%
BLIND BROOK-RYE,WESTCHESTER,1332,100.0%,100.0%,0,0,0.2%,54.2%,2,722,1330,610,76.6%,0.8%,7.8%,7.9%,0.2%,6.8%
NEWFANE,NIAGARA,1327,100.0%,100.0%,0,0,3.0%,71.8%,40,953,1287,374,91.9%,1.1%,2.1%,0.4%,0.3%,4.2%
CAZENOVIA,MADISON,1318,100.0%,100.0%,0,0,1.1%,42.0%,14,554,1304,764,94.2%,0.4%,2.9%,1.1%,0.1%,1.4%
MADRID WADDINGTON,SAINT LAWRENCE,1318,100.0%,100.0%,0,0,1.1%,92.8%,14,1158,1304,90,96.4%,0.2%,2.1%,0.5%,0.2%,0.8%
CARLE PLACE,NASSAU,1316,98.1%,100.0%,25,0,1.9%,100.0%,25,1316,1289,0,64.0%,1.8%,23.6%,8.7%,0.0%,1.8%
CANASTOTA,MADISON,1312,100.0%,100.0%,0,0,4.5%,99.9%,59,1260,1252,1,89.7%,1.3%,2.8%,0.6%,0.6%,4.9%
